id,title,picture_url
457,Mushishi,https://api-cdn.myanimelist.net/images/anime/2/73862.jpg
11665,Natsume Yuujinchou Shi,https://api-cdn.myanimelist.net/images/anime/3/37449.jpg
23273,Shigatsu wa Kimi no Uso,https://api-cdn.myanimelist.net/images/anime/3/67177.jpg
50265,Spy x Family,https://api-cdn.myanimelist.net/images/anime/1441/122795.jpg
40748,Jujutsu Kaisen,https://api-cdn.myanimelist.net/images/anime/1171/109222.jpg
40591,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,https://api-cdn.myanimelist.net/images/anime/1764/106659.jpg
28891,Haikyuu!! Second Season,https://api-cdn.myanimelist.net/images/anime/9/76662.jpg
40456,Kimetsu no Yaiba Movie: Mugen Ressha-hen,https://api-cdn.myanimelist.net/images/anime/1704/106947.jpg
36862,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,https://api-cdn.myanimelist.net/images/anime/1502/110723.jpg
2001,Tengen Toppa Gurren Lagann,https://api-cdn.myanimelist.net/images/anime/4/5123.jpg
34591,Natsume Yuujinchou Roku,https://api-cdn.myanimelist.net/images/anime/6/84416.jpg
22135,Ping Pong the Animation,https://api-cdn.myanimelist.net/images/anime/10/58041.jpg
35760,Shingeki no Kyojin Season 3,https://api-cdn.myanimelist.net/images/anime/1173/92110.jpg
44511,Chainsaw Man,https://api-cdn.myanimelist.net/images/anime/1806/126216.jpg
1535,Death Note,https://api-cdn.myanimelist.net/images/anime/9/9453.jpg
42310,Cyberpunk: Edgerunners,https://api-cdn.myanimelist.net/images/anime/1818/126435.jpg
3786,Evangelion: 3.0+1.0 Thrice Upon a Time,https://api-cdn.myanimelist.net/images/anime/1422/113533.jpg
40434,Mo Dao Zu Shi: Wanjie Pian,https://api-cdn.myanimelist.net/images/anime/1634/116782.jpg
7311,Suzumiya Haruhi no Shoushitsu,https://api-cdn.myanimelist.net/images/anime/1248/112352.jpg
28957,Mushishi Zoku Shou: Suzu no Shizuku,https://api-cdn.myanimelist.net/images/anime/9/72689.jpg
38329,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,https://api-cdn.myanimelist.net/images/anime/1613/102179.jpg
19647,Hajime no Ippo: Rising,https://api-cdn.myanimelist.net/images/anime/6/56147.jpg
37991,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,https://api-cdn.myanimelist.net/images/anime/1572/95010.jpg
31757,Kizumonogatari II: Nekketsu-hen,https://api-cdn.myanimelist.net/images/anime/1981/112812.jpg
10379,Natsume Yuujinchou San,https://api-cdn.myanimelist.net/images/anime/8/82394.jpg
12355,Ookami Kodomo no Ame to Yuki,https://api-cdn.myanimelist.net/images/anime/9/35721.jpg
50594,Suzume no Tojimari,https://api-cdn.myanimelist.net/images/anime/1598/128450.jpg
32983,Natsume Yuujinchou Go,https://api-cdn.myanimelist.net/images/anime/11/81755.jpg
28735,Shouwa Genroku Rakugo Shinjuu,https://api-cdn.myanimelist.net/images/anime/1354/124768.jpg
4565,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,https://api-cdn.myanimelist.net/images/anime/12/19698.jpg
7785,Yojouhan Shinwa Taikei,https://api-cdn.myanimelist.net/images/anime/1633/123689.jpg
40834,Ousama Ranking,https://api-cdn.myanimelist.net/images/anime/1347/117616.jpg
